iter	RMSE
178	103416.5915
179	103291.1581
180	103174.1236
181	103060.8793
182	102967.7334
183	102878.254
184	102787.0507
185	102565.4969
186	102450.4568
187	102328.3527
188	102234.7104
189	102096.5009
190	101954.2132
191	101822.9254
192	101623.2775
193	101470.817
194	101356.8762
195	101263.1059
196	101121.5873
197	100995.0991
198	100885.4436
199	100815.7732
200	100706.9569
201	100637.3058
202	100515.997
203	100400.941
204	100275.1631
205	100165.9576
206	100065.3564
207	99896.80945
208	99747.52538
209	99648.28494
210	99452.76618
211	99321.14495
212	99228.59439
213	99131.52466
214	98980.77602
215	98844.23139
216	98744.73691
217	98580.11769
218	98472.54121
219	98382.69476
220	98256.66892
221	98115.05707
222	98055.43658
223	97934.54468
224	97847.18483
225	97745.44302
226	97628.9798
227	97514.4159
228	97431.09569
229	97378.42648
230	97314.81892
231	97225.66277
232	97128.50801
233	97020.60532
234	96953.3424
235	96842.7341
236	96760.9301
237	96689.45712
238	96611.50824
239	96511.87845
240	96431.08654
241	96339.13075
242	96245.19011
243	96159.3592
244	95996.14969
245	95886.91869
246	95780.60103
247	95681.93069
248	95572.75104
249	95446.09684
250	95373.93472
251	95294.79543
252	95176.09147
253	95127.74998
254	95037.04898
255	94961.67198
256	94869.8644
257	94794.49616
258	94703.77925
259	94646.53805
260	94546.12209
261	94461.98938
262	94342.18374
263	94247.14824
264	94189.14127
265	94108.44151
266	94023.357
267	93941.57551
268	93846.02987
269	93772.57019
270	93688.18021
271	93588.16046
272	93489.83959
273	93401.53684
274	93343.23917
275	93273.84163
276	93220.23837
277	93131.68294
278	93054.32357
279	92981.49063
280	92935.6023
281	92886.35102
282	92778.14584
283	92726.53444
284	92609.2476
285	92523.82934
286	92455.35715
287	92378.85472
288	92311.57865
289	92238.64158
290	92180.78126
291	92121.14103
292	92043.55611
293	91969.96052
294	91936.91787
295	91833.09613
296	91764.43786
297	91683.49982
298	91614.11609
299	91547.97935
300	91473.63333
301	91413.01881
302	91330.13328
303	91260.113
304	91210.47746
305	91138.60562
306	91079.69494
307	91013.78133
308	90947.75022
309	90884.12553
310	90849.5679
311	90765.5302
312	90696.6744
313	90655.64086
314	90595.24653
315	90538.86354
316	90489.45905
317	90433.01373
318	90391.95519
319	90340.27521
320	90278.27216
321	90208.90172
322	90148.11182
323	90085.66822
324	90038.64595
325	89954.40118
326	89895.87118
327	89825.13558
328	89748.32345
329	89703.09457
330	89667.14001
331	89622.63574
332	89554.35974
333	89492.48774
334	89435.25994
335	89340.60925
336	89278.50568
337	89232.36567
338	89168.90843
339	89108.20973
340	89042.46945
341	88992.43122
342	88870.28946
343	88827.80365
344	88769.69508
345	88724.73902
346	88683.51226
347	88636.47925
348	88587.83444
349	88517.48217
350	88470.38294
351	88406.84338
352	88351.44221
353	88262.53867
354	88201.66084
355	88132.10678
356	88082.96289
357	88037.90909
358	87992.66415
359	87942.48727
360	87862.1116
361	87813.44403
362	87710.19976
363	87673.71219
364	87610.34475
365	87562.02788
366	87524.40005
367	87445.93716
368	87417.36716
369	87356.17982
370	87288.99039
371	87230.09286
372	87201.42757
373	87128.48825
374	87075.05879
375	87028.79948
376	87001.50498
377	86935.874
378	86860.68931
379	86810.73222
380	86751.70003
381	86694.99185
382	86646.69586
383	86604.05087
384	86558.57511
385	86523.31398
386	86475.09535
387	86418.94344
388	86371.34219
389	86324.35161
390	86261.69459
391	86218.87852
392	86175.46471
393	86144.24371
394	86098.99029
395	86023.58742
396	85972.77598
397	85936.54968
398	85894.09963
399	85860.50818
400	85824.32557
401	85767.2247
402	85725.7342
403	85670.80276
404	85605.18971
405	85558.63441
406	85518.26157
407	85445.81175
408	85387.95294
409	85319.11801
410	85292.58364
411	85250.67992
412	85205.61469
413	85133.03457
414	85100.96573
415	85077.32821
416	85026.36795
417	84975.05326
418	84949.30151
419	84913.66228
420	84872.63429
421	84849.38035
422	84794.51267
423	84771.23563
424	84722.71146
425	84679.69922
426	84630.81668
427	84543.90607
428	84477.11737
429	84449.86412
430	84380.8848
431	84334.98802
432	84296.10752
433	84279.92389
434	84217.96959
435	84177.809
436	84136.29067
437	84099.66287
438	84050.91447
439	84008.01228
440	83982.76571
441	83949.27362
442	83911.51943
443	83821.40515
444	83780.23294
445	83730.82894
446	83657.89648
447	83623.8326
448	83570.33262
449	83541.21562
450	83516.33579
451	83485.32094
452	83424.76204
453	83369.60672
454	83324.16075
455	83294.86017
456	83250.30976
457	83179.43551
458	83125.268
459	83041.60499
460	82998.18747
461	82946.57262
462	82918.87679
463	82841.26338
464	82789.8496
465	82738.49435
466	82682.83249
467	82646.01961
468	82608.22503
469	82566.18582
470	82525.35675
471	82470.84624
472	82441.39543
473	82421.21653
474	82381.12821
475	82348.23436
476	82314.57456
477	82272.71888
478	82246.44969
479	82201.46258
480	82171.36469
481	82140.34845
482	82095.01083
483	82073.15722
484	82023.40986
485	81965.51014
486	81930.07406
487	81910.02297
488	81868.85498
489	81844.81669
490	81799.57109
491	81758.37927
492	81726.26158
493	81691.59184
494	81668.8025
495	81589.0121
496	81551.82955
497	81522.68618
498	81497.67175
499	81484.57906
500	81474.24953
501	81446.06349
502	81416.30622
503	81328.76622
504	81291.47083
505	81257.63575
506	81227.95748
507	81191.69921
508	81146.31826
509	81103.90955
510	81076.77145
511	81063.85934
512	81005.62676
513	80978.11335
514	80960.42354
515	80949.35554
516	80904.82517
517	80861.927
518	80813.29648
519	80774.02849
520	80740.88797
521	80709.68045
522	80672.57301
523	80633.39084
524	80609.61887
525	80576.85652
526	80539.95725
527	80457.19848
528	80428.58781
529	80395.28219
530	80347.88267
531	80309.82502
532	80286.01392
533	80242.51295
534	80198.62229
535	80153.15751
536	80089.36875
537	80049.30052
538	80008.82941
539	79984.04154
540	79922.64446
541	79868.61228
542	79848.45912
543	79812.51163
544	79772.51337
545	79736.95441
546	79697.84555
547	79661.95327
548	79625.98595
549	79598.16973
550	79564.37394
551	79521.99764
552	79454.48062
553	79397.32565
554	79351.15686
555	79319.42813
556	79286.69017
557	79252.13237
558	79207.81625
559	79165.65683
560	79104.58067
561	79071.91531
562	79040.86079
563	79006.1666
564	78951.62676
565	78906.51661
566	78858.61231
567	78829.28026
568	78785.19402
569	78761.88596
570	78737.00023
571	78711.5873
572	78682.96069
573	78653.72775
574	78596.10779
575	78568.43862
576	78537.12847
577	78493.05853
578	78467.31399
579	78435.59282
580	78386.96581
581	78352.62346
582	78313.11847
583	78271.30733
584	78242.24532
585	78231.61692
586	78195.13239
587	78143.58412
588	78107.66313
589	78078.36748
590	78056.29924
591	78021.67096
592	78002.75108
593	77950.72451
594	77908.79365
595	77886.90108
596	77855.85928
597	77826.65029
598	77800.49814
599	77772.39144
600	77732.26656
601	77702.32908
602	77683.83925
603	77657.30594
604	77615.05818
605	77557.70094
606	77512.40951
607	77484.32877
608	77455.36475
609	77415.38424
610	77368.75528
611	77345.21245
612	77310.91538
613	77272.52866
614	77244.26176
615	77207.40185
616	77197.27
617	77179.47429
618	77143.281
619	77122.36052
620	77084.27389
621	77055.94844
622	77001.2795
623	76973.64251
624	76945.4842
625	76911.39037
626	76878.04173
627	76851.29598
628	76820.93831
629	76774.06015
630	76730.16732
631	76692.76656
632	76666.79135
633	76647.4221
634	76605.25484
635	76577.90517
636	76553.96434
637	76521.28416
638	76488.27085
639	76450.66767
640	76422.13126
641	76393.66131
642	76365.74431
643	76347.42303
644	76318.81619
645	76302.66765
646	76263.04414
647	76239.47601
648	76198.58411
649	76133.71363
650	76102.68277
651	76071.96873
652	76041.1654
653	76014.08768
654	75992.98389
655	75962.48733
656	75919.97067
657	75885.92254
658	75867.77322
659	75834.28206
660	75812.94436
661	75800.51393
662	75765.70735
663	75710.11405
664	75689.58899
665	75664.5411
666	75642.64061
667	75610.50488
668	75591.34556
669	75558.21714
670	75537.58466
671	75508.43532
672	75492.92403
673	75471.11117
674	75449.39415
675	75440.60184
676	75428.1376
677	75420.99606
678	75380.36257
679	75332.31017
680	75319.00837
681	75295.22251
682	75250.82904
683	75230.90837
684	75207.55715
685	75185.97309
686	75152.19664
687	75111.12309
688	75086.1983
689	75065.0253
690	75037.86748
691	74995.40634
692	74963.22636
693	74933.50203
694	74912.90221
695	74897.42242
696	74889.75306
697	74866.67937
698	74853.24318
699	74833.76099
700	74812.51718
701	74786.18218
702	74755.53881
703	74728.66805
704	74709.60548
705	74678.63492
706	74639.72418
707	74601.65908
708	74582.15821
709	74564.19008
710	74536.21445
711	74492.41671
712	74461.28284
713	74441.03027
714	74431.38465
715	74401.15245
716	74372.44828
717	74347.86208
718	74333.25005
719	74315.734
720	74274.12372
721	74244.39437
722	74210.86552
723	74179.39053
724	74158.87911
725	74136.30901
726	74103.53563
727	74078.49932
728	74056.15761
729	74023.70108
730	74002.54703
731	73975.29094
732	73934.79771
733	73911.49855
734	73888.3499
735	73847.49431
736	73837.43279
737	73812.64961
738	73783.29604
739	73756.80009
740	73719.72187
741	73691.16188
742	73664.49036
743	73642.77347
744	73595.53533
745	73564.86181
746	73537.87956
747	73501.33949
748	73478.35218
749	73440.04504
750	73412.26987
751	73391.28811
752	73356.76322
753	73339.74499
754	73313.81143
755	73286.07296
756	73264.03638
757	73247.76131
758	73215.11204
759	73198.37487
760	73161.40862
761	73138.90083
762	73118.63271
763	73099.21179
764	73062.94144
765	73015.48909
766	72994.74119
767	72972.87031
768	72948.59201
769	72919.01494
770	72889.23554
771	72859.01521
772	72834.04952
773	72791.25131
774	72760.10338
775	72724.38858
776	72702.33511
777	72676.31218
778	72647.73437
779	72609.4765
780	72600.60015
781	72599.82266
782	72575.05932
783	72543.28765
784	72504.16911
785	72480.72707
786	72448.49045
787	72424.83152
788	72412.92179
789	72380.3224
790	72347.87286
791	72319.99005
792	72285.10881
793	72251.34508
794	72229.90107
795	72205.84181
796	72177.8738
797	72156.64753
798	72131.86662
799	72104.32717
800	72088.38799
801	72059.04792
802	72029.00281
803	72012.16061
804	71962.7555
805	71942.67346
806	71912.6769
807	71878.80638
808	71852.89959
809	71833.60133
810	71820.9585
811	71806.46649
812	71784.25413
813	71749.82584
814	71731.29854
815	71715.42949
816	71694.28182
817	71671.34952
818	71651.29007
819	71630.38602
820	71606.50979
821	71595.37472
822	71578.51304
823	71551.53727
824	71519.94999
825	71507.02353
826	71493.76387
827	71470.74121
828	71450.32289
829	71411.22449
830	71385.04447
831	71365.22555
832	71333.73056
833	71293.71803
834	71270.21209
835	71244.06906
836	71220.54088
837	71188.33522
838	71172.6481
839	71137.13176
840	71113.90282
841	71093.93701
842	71067.11814
843	71043.93837
844	71014.95543
845	70991.12977
846	70958.04043
847	70935.97483
848	70918.34457
849	70885.33905
850	70851.92604
851	70824.17996
852	70804.18829
853	70788.29515
854	70769.46696
855	70745.00477
856	70726.03553
857	70699.324
858	70670.13185
859	70649.03416
860	70634.16934
861	70624.06149
862	70599.20946
863	70565.94886
864	70549.16586
865	70547.78398
866	70523.34466
867	70506.49991
868	70505.09003
869	70491.15562
870	70489.89963
871	70465.87335
872	70440.9442
873	70413.95242
874	70392.76629
875	70375.68872
876	70358.1745
877	70342.47421
878	70320.34125
879	70271.74881
880	70251.40529
881	70241.89857
882	70218.91992
883	70199.72871
884	70181.83675
885	70148.60727
886	70113.42407
887	70084.9773
888	70056.20749
889	70033.98902
890	70021.42374
891	70012.05343
892	69989.153
893	69975.2469
894	69960.55892
895	69944.9447
896	69923.34927
897	69909.88706
898	69895.71522
899	69880.50104
900	69854.22214
901	69849.08492
902	69830.40366
903	69810.01017
904	69782.41789
905	69753.53897
906	69720.38014
907	69693.06057
908	69676.09606
909	69647.97212
910	69623.49388
911	69593.86587
912	69576.26452
913	69545.74106
914	69518.92492
915	69502.31436
916	69474.98584
917	69442.92623
918	69397.60153
919	69378.90082
920	69366.50726
921	69340.95919
922	69311.20028
923	69283.73824
924	69263.32026
925	69247.99299
926	69236.2874
927	69223.15022
928	69222.46344
929	69202.59623
930	69187.34307
931	69174.72818
932	69154.13869
933	69129.29588
934	69116.89323
935	69091.97831
936	69079.2579
937	69035.80124
938	69013.35701
939	69002.80759
940	68985.70608
941	68964.41853
942	68941.94897
943	68932.19981
944	68907.94253
945	68881.4883
946	68851.87479
947	68837.08169
948	68819.9125
949	68802.85932
950	68780.6785
951	68780.22734
952	68757.30914
953	68725.99899
954	68709.85407
955	68688.25751
956	68667.55994
957	68639.13153
958	68621.60204
959	68610.55955
960	68591.94017
961	68579.32075
962	68550.30856
963	68532.58375
964	68518.15726
965	68509.41894
966	68484.57972
967	68468.82007
968	68459.32097
969	68441.9956
970	68420.84361
971	68405.227
972	68375.57662
973	68363.76107
974	68360.70373
975	68335.67928
976	68318.29519
977	68285.68752
978	68263.97307
979	68241.31039
980	68220.26138
981	68205.34978
982	68181.35742
983	68169.20666
984	68155.09158
985	68137.54461
986	68123.97284
987	68094.65256
988	68082.52193
989	68060.53276
990	68041.66939
991	68026.54243
992	68006.53737
993	67989.31702
994	67962.93877
995	67939.09427
996	67910.06398
997	67890.91574
998	67881.13743
999	67873.00647
